vocab_size,embed_dim,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,experiment,dataset_size,run
2000,64,0.42266371666060554,0.8223333333333334,0.8219971056439942,0.45418865156173704,0.805,0.8020304568527918,vocab_variation,10000,0
10000,64,0.3393859142197503,0.8807777777777778,0.8825910931174089,0.4112832577228546,0.836,0.8392156862745098,vocab_variation,10000,0
30000,64,0.29999730473094516,0.9044444444444445,0.9061135371179039,0.3951118960380554,0.839,0.8420019627085378,vocab_variation,10000,0
10000,64,0.6898486895031399,0.5505555555555556,0.6093674553355867,0.6893932795524598,0.61,0.6548672566371682,dataset_variation,2000,0
10000,64,0.33652326565318635,0.8828888888888888,0.8842775581906017,0.41367335844039915,0.825,0.8269040553907022,dataset_variation,10000,0
10000,64,0.23923952700826856,0.9105777777777778,0.9105857257132699,0.32453275270462034,0.8592,0.8587479935794543,dataset_variation,25000,0
10000,16,0.48575512536366783,0.8285555555555556,0.8313845481368156,0.5191004567146301,0.79,0.7928994082840237,embeddim_variation,10000,0
10000,64,0.339739128086302,0.8793333333333333,0.8805543334799824,0.41622768926620485,0.83,0.8326771653543307,embeddim_variation,10000,0
10000,256,0.23342789055241478,0.9258888888888889,0.926355305288727,0.3539014775753021,0.861,0.8614157527417746,embeddim_variation,10000,0
